Sample_ID,Diet,Net_pen,gapdh_Cq,gapdh_PE,rnapo2_Cq,rnapo2_PE,hprt1_Cq,hprt1_PE,actb_Cq,actb_PE,Target,Target_PE,Target_Cq,Target_Cq_error,Target_func,Comments
25,REF,101,18.44,1.90 ,24.06,1.80 ,22.43,2.00 ,14.94,1.86,pcyt1a,2.09,24.54,0.01,lipid_metabolism,
26,REF,101,18.01,1.90 ,23.66,1.80 ,21.64,2.00 ,14.45,1.86,pcyt1a,2.09,23.29,0.07,lipid_metabolism,
27,REF,101,18.13,1.90 ,23.82,1.80 ,22,2.00 ,14.79,1.86,pcyt1a,2.09,23.99,0.14,lipid_metabolism,
28,REF,101,17.98,1.90 ,23.89,1.80 ,22.22,2.00 ,14.7,1.86,pcyt1a,2.09,24.29,0.04,lipid_metabolism,
29,REF,101,17.97,1.90 ,23.9,1.80 ,22.14,2.00 ,14.57,1.86,pcyt1a,2.09,23.71,0.09,lipid_metabolism,
30,REF,101,17.9,1.90 ,23.92,1.80 ,22.4,2.00 ,14.5,1.86,pcyt1a,2.09,24.07,0.01,lipid_metabolism,
43,IM,104,18.2,1.90 ,24.09,1.80 ,22.47,2.00 ,14.88,1.86,pcyt1a,2.09,24.51,0.18,lipid_metabolism,
44,IM,104,18.19,1.90 ,23.73,1.80 ,21.86,2.00 ,14.75,1.86,pcyt1a,2.09,23.74,0.08,lipid_metabolism,
45,IM,104,17.79,1.90 ,23.77,1.80 ,22.37,2.00 ,14.59,1.86,pcyt1a,2.09,23.75,0.07,lipid_metabolism,
46,IM,104,17.92,1.90 ,23.91,1.80 ,21.95,2.00 ,14.51,1.86,pcyt1a,2.09,23.64,0.05,lipid_metabolism,
47,IM,104,17.93,1.90 ,24.05,1.80 ,22.51,2.00 ,14.42,1.86,pcyt1a,2.09,24.57,0.01,lipid_metabolism,
48,IM,104,17.8,1.90 ,24.08,1.80 ,22.4,2.00 ,14.49,1.86,pcyt1a,2.09,24.13,0.05,lipid_metabolism,
49,IM,105,18.33,1.90 ,23.96,1.80 ,21.88,2.00 ,14.79,1.86,pcyt1a,2.09,23.76,0.01,lipid_metabolism,
